SOMA	Label	Weight
1	functional theor	0.0625
1	experimental data	0.015625
1	experimental result	0.020408163
1	electronic state	0.111111111
1	excited state	0.005102041
1	molecular dynamic	0.04
1	electronic propert	0.25
1	molecular dynamic simulation	0.111111111
1	free energy	0.015625
1	initio calculation	0.111111111
1	electronic structure	0.111111111
1	gas phase	0.25
1	hydrogen bond	1
1	experimental value	0.04
1	potential energy surface	1
1	ionic liquid	1
1	binding energ	0.04
1	theoretical calculation	0.111111111
1	water molecule	1
1	room temperature	0.111111111
1	solvent effect	1
1	ground state	0.00147929
1	theoretical result	0.04
1	potential energy curve	1
1	optical propert	0.111111111
1	low temperature	0.012345679
1	continuum model	0.25
1	molecular structure	1
1	electronic transition	0.25
1	dft calculation	1
1	functional theor calculation	0.25
1	principles calculation	0.25
1	solvent molecule	1
1	using density	0.25
1	electronic structure calculation	0.25
1	charge transfer	0.25
1	multichannel method	1
1	quantum chemical calculation	1
1	basis set	1
1	transition state	1
1	structural propert	0.111111111
1	temperature dependence	0.027777778
1	dissociation energ	1
1	different temperature	0.0625
1	quantum theor	0.0625
1	dependent density	1
1	electrostatic interaction	1
1	raman spectra	1
1	activation energy	0.0625
1	phase transition	0.001371742
1	oxygen atom	1
1	chemical bond	1
1	present result	0.04
1	thermodynamic propert	0.04
1	mechanical calculation	0.25
1	magnetic propert	0.111111111
1	photon energy	0.111111111
1	triplet state	0.04
1	experimental measurement	0.04
1	theoretical model	0.020408163
1	phase diagram	0.004444444
1	temperature range	0.111111111
1	solvent polarity	1
1	optical absorption	0.04
1	excitation energ	0.027777778
1	electrical propert	0.25
1	experimental observation	0.04
1	polarization effect	0.111111111
1	liquid phase	0.25
1	molecular system	0.25
1	liquid water	1
1	radial distribution function	1
1	organic molecule	1
1	ionization potential	0.25
1	atomic charge	1
1	solid state	0.008264463
1	experimental stud	0.04
1	relativistic effect	0.111111111
1	dynamical propert	0.111111111
1	adsorption process	1
1	adsorption energy	0.25
1	interaction energy	1
1	intermolecular interaction	1
1	absorption spectra	0.25
1	energy barrier	0.111111111
1	functional group	0.25
1	wave function	0.027777778
1	electron affinit	0.25
1	initio method	1
1	md simulation	1
1	b3lyp level	1
1	scanning electron microscopy	0.111111111
1	electronic density	0.25
1	bond length	1
1	transmission electron microscopy	0.111111111
1	gas phase value	1
1	experimental condition	0.0625
1	model system	0.111111111
1	crystal structure	0.25
1	polarization function	1
1	photophysical propert	1
1	spectroscopic propert	1
1	electron density	0.027777778
1	valence electron	1
1	solvent interaction	1
1	transition probabilit	0.25
1	theoretical method	1
1	chemical reaction	1
1	reaction mechanism	0.25
1	energy range	0.04
1	experimental finding	0.0625
1	previous result	0.04
1	liquid crystal	0.25
1	momentum transfer	0.0625
1	hydrogen bond formation	1
1	natural bond orbital	1
1	singlet state	0.111111111
1	functional calculation	0.25
1	molecular modeling	1
1	electron scattering	0.111111111
1	double bond	1
1	hydrogen atom	1
1	complete basis	1
1	electron correlation effect	1
1	multireference configuration interaction	1
1	monte carlo simulation	0.0625
1	energy difference	0.0625
1	energy gap	0.111111111
1	transition energ	0.111111111
1	anion state	1
1	pi state	1
1	vibrational state	0.25
1	c bond	1
1	ion pair	1
1	dynamic simulation	0.0625
1	point charge	0.25
1	molecular level	1
1	emission spectra	0.0625
